value,type
39,Kept
35,Kept
26,Kept
39,Kept
34,Kept
48,Kept
29,Kept
48,Kept
48,Kept
48,Kept
31,Kept
48,Kept
48,Kept
40,Kept
48,Kept
48,Kept
24,Kept
27,Kept
26,Kept
26,Kept
24,Kept
24,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
56,Kept
48,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
25,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
27,Kept
34,Kept
31,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
32,Kept
32,Kept
32,Kept
27,Kept
35,Kept
31,Kept
48,Kept
34,Kept
34,Kept
34,Kept
27,Kept
34,Kept
31,Kept
31,Kept
31,Kept
31,Kept
25,Kept
32,Kept
32,Kept
32,Kept
25,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
31,Kept
48,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
44,Kept
39,Kept
34,Kept
25,Kept
25,Kept
27,Kept
24,Kept
24,Kept
24,Kept
31,Kept
28,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
48,Kept
48,Kept
48,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
56,Kept
34,Kept
34,Kept
34,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
34,Kept
34,Kept
27,Kept
27,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
48,Kept
48,Kept
48,Kept
31,Kept
31,Kept
31,Kept
31,Kept
29,Kept
29,Kept
27,Kept
28,Kept
28,Kept
27,Kept
31,Kept
29,Kept
45,Kept
45,Kept
45,Kept
40,Kept
35,Kept
34,Kept
34,Kept
31,Kept
43,Kept
56,Kept
56,Kept
35,Kept
27,Kept
54,Kept
54,Kept
49,Kept
49,Kept
42,Kept
42,Kept
34,Kept
34,Kept
34,Kept
34,Kept
25,Kept
25,Kept
34,Kept
25,Kept
35,Kept
35,Kept
34,Kept
35,Kept
47,Kept
44,Kept
34,Kept
26,Kept
48,Kept
35,Kept
35,Kept
34,Kept
34,Kept
32,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
32,Kept
25,Kept
48,Kept
48,Kept
48,Kept
34,Kept
25,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
34,Kept
25,Kept
25,Kept
25,Kept
24,Kept
48,Kept
24,Kept
32,Kept
43,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
25,Kept
45,Kept
45,Kept
43,Kept
43,Kept
35,Kept
35,Kept
35,Kept
35,Kept
31,Kept
48,Kept
34,Kept
31,Kept
31,Kept
45,Kept
34,Kept
25,Kept
29,Kept
29,Kept
29,Kept
25,Kept
24,Kept
25,Kept
34,Kept
25,Kept
24,Kept
25,Kept
25,Kept
25,Kept
25,Kept
48,Kept
24,Kept
31,Kept
25,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
25,Kept
25,Kept
