value,type
24,Kept
28,Kept
23,Kept
23,Kept
23,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
