value,type
42,Kept
43,Kept
48,Kept
50,Kept
51,Kept
53,Kept
54,Kept
57,Kept
64,Kept
66,Kept
70,Kept
80,Kept
84,Kept
87,Kept
104,Kept
122,Kept
40,Kept
40,Kept
44,Kept
44,Kept
56,Kept
56,Kept
61,Kept
61,Kept
68,Kept
68,Kept
90,Kept
90,Kept
34,Kept
34,Kept
34,Kept
38,Kept
38,Kept
38,Kept
41,Kept
41,Kept
41,Kept
55,Kept
55,Kept
55,Kept
58,Kept
58,Kept
58,Kept
35,Kept
35,Kept
35,Kept
35,Kept
59,Kept
59,Kept
59,Kept
59,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
95,Kept
95,Kept
95,Kept
95,Kept
95,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
60,Kept
60,Kept
60,Kept
60,Kept
60,Kept
60,Kept
45,Kept
45,Kept
45,Kept
45,Kept
45,Kept
45,Kept
45,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
16,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
17,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
15,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
13,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
14,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
12,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
10,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
11,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
9,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
8,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
6,Kept
