value,type
131,Kept
142,Kept
50,Kept
51,Kept
58,Kept
65,Kept
66,Kept
71,Kept
75,Kept
79,Kept
88,Kept
93,Kept
98,Kept
102,Kept
236,Kept
239,Kept
116,Kept
121,Kept
255,Kept
60,Kept
60,Kept
63,Kept
63,Kept
67,Kept
67,Kept
72,Kept
72,Kept
74,Kept
74,Kept
53,Kept
53,Kept
53,Kept
54,Kept
54,Kept
54,Kept
55,Kept
55,Kept
55,Kept
62,Kept
62,Kept
62,Kept
43,Kept
43,Kept
43,Kept
43,Kept
44,Kept
44,Kept
44,Kept
44,Kept
56,Kept
56,Kept
56,Kept
56,Kept
57,Kept
57,Kept
57,Kept
57,Kept
59,Kept
59,Kept
59,Kept
59,Kept
61,Kept
61,Kept
61,Kept
61,Kept
69,Kept
69,Kept
69,Kept
69,Kept
48,Kept
48,Kept
48,Kept
48,Kept
48,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
39,Kept
42,Kept
42,Kept
42,Kept
42,Kept
42,Kept
42,Kept
45,Kept
45,Kept
45,Kept
45,Kept
45,Kept
45,Kept
49,Kept
49,Kept
49,Kept
49,Kept
49,Kept
49,Kept
52,Kept
52,Kept
52,Kept
52,Kept
52,Kept
52,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
37,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
40,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
41,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
46,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
35,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
36,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
38,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
47,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
30,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
34,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
27,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
32,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
33,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
31,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
29,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
26,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
28,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
25,Kept
21,Kept
21,Kept
21,Kept
